,VILLE,REVENU FISCAL DE RÉFÉRENCE,TAUX DE CHÔMAGE,BÉNÉFICIAIRES DU RSA,Salaires mensuels nets moyens,Pourcentage de salariés en CDI,Nombres d'entreprises,ISF moyen par foyer nc,Bénéficiaires de la CAF,Population
288,"<td><a href=""https://www.linternaute.com/ville/vandoeuvre-les-nancy/ville-54547"">Vandœuvre-lès-Nancy</a></td>",<td>20 875 €</td>,"<td>18,62 %</td>","<td>4,70 %</td>","<td>2 070,78 €</td>","<td>77,10 %</td>",<td>1 978 entreprises</td>,<td>8 088 €</td>,"<td>35,88 %</td>",<td>30 009 hab.</td>
289,"<td><a href=""https://www.linternaute.com/ville/baillif/ville-97104"">Baillif</a></td>",<td>14 639 €</td>,"<td>32,30 %</td>","<td>11,17 %</td>","<td>1 951,49 €</td>","<td>84,08 %</td>",<td>467 entreprises</td>,<td>nc</td>,"<td>27,87 %</td>",<td>5 404 hab.</td>
290,"<td><a href=""https://www.linternaute.com/ville/bondy/ville-93010"">Bondy</a></td>",<td>18 810 €</td>,"<td>20,54 %</td>","<td>6,51 %</td>","<td>2 052,76 €</td>","<td>84,33 %</td>",<td>4 100 entreprises</td>,<td>nc</td>,"<td>26,08 %</td>",<td>54 055 hab.</td>
291,"<td><a href=""https://www.linternaute.com/ville/fourchambault/ville-58117"">Fourchambault</a></td>",<td>17 691 €</td>,"<td>18,66 %</td>","<td>5,50 %</td>","<td>1 838,99 €</td>","<td>82,03 %</td>",<td>198 entreprises</td>,<td>nc</td>,"<td>29,53 %</td>",<td>4 182 hab.</td>
292,"<td><a href=""https://www.linternaute.com/ville/loos/ville-59360"">Loos</a></td>",<td>20 231 €</td>,"<td>18,44 %</td>","<td>4,34 %</td>","<td>2 014,59 €</td>","<td>81,83 %</td>",<td>1 168 entreprises</td>,<td>nc</td>,"<td>29,98 %</td>",<td>22 426 hab.</td>
293,"<td><a href=""https://www.linternaute.com/ville/luxeuil-les-bains/ville-70311"">Luxeuil-les-Bains</a></td>",<td>20 416 €</td>,"<td>20,77 %</td>","<td>4,59 %</td>","<td>1 983,86 €</td>","<td>78,62 %</td>",<td>558 entreprises</td>,<td>nc</td>,"<td>26,11 %</td>",<td>6 692 hab.</td>
294,"<td><a href=""https://www.linternaute.com/ville/port-de-bouc/ville-13077"">Port-de-Bouc</a></td>",<td>18 588 €</td>,"<td>20,30 %</td>","<td>9,46 %</td>","<td>2 225,10 €</td>","<td>80,93 %</td>",<td>1 520 entreprises</td>,<td>nc</td>,"<td>29,58 %</td>",<td>16 569 hab.</td>
295,"<td><a href=""https://www.linternaute.com/ville/stiring-wendel/ville-57660"">Stiring-Wendel</a></td>",<td>18 941 €</td>,"<td>21,61 %</td>","<td>4,91 %</td>","<td>1 880,94 €</td>","<td>84,18 %</td>",<td>521 entreprises</td>,<td>nc</td>,"<td>21,67 %</td>",<td>11 385 hab.</td>
296,"<td><a href=""https://www.linternaute.com/ville/vichy/ville-03310"">Vichy</a></td>",<td>20 949 €</td>,"<td>22,37 %</td>","<td>6,02 %</td>","<td>2 088,13 €</td>","<td>78,49 %</td>",<td>2 452 entreprises</td>,<td>9 345 €</td>,"<td>32,85 %</td>",<td>24 854 hab.</td>
297,"<td><a href=""https://www.linternaute.com/ville/avallon/ville-89025"">Avallon</a></td>",<td>19 823 €</td>,"<td>20,81 %</td>","<td>5,15 %</td>","<td>1 918,74 €</td>","<td>82,27 %</td>",<td>523 entreprises</td>,<td>nc</td>,"<td>26,28 %</td>",<td>6 513 hab.</td>
298,"<td><a href=""https://www.linternaute.com/ville/montrejeau/ville-31390"">Montréjeau</a></td>",<td>16 339 €</td>,"<td>24,34 %</td>","<td>7,78 %</td>","<td>1 938,93 €</td>","<td>77,29 %</td>",<td>265 entreprises</td>,<td>nc</td>,"<td>30,97 %</td>",<td>2 763 hab.</td>
299,"<td><a href=""https://www.linternaute.com/ville/saint-amand-montrond/ville-18197"">Saint-Amand-Montrond</a></td>",<td>20 636 €</td>,"<td>21,45 %</td>","<td>4,34 %</td>","<td>1 847,16 €</td>","<td>82,77 %</td>",<td>559 entreprises</td>,<td>nc</td>,"<td>25,71 %</td>",<td>9 531 hab.</td>
300,"<td><a href=""https://www.linternaute.com/ville/saint-girons/ville-09261"">Saint-Girons</a></td>",<td>19 525 €</td>,"<td>18,81 %</td>","<td>5,72 %</td>","<td>1 903,28 €</td>","<td>81,95 %</td>",<td>690 entreprises</td>,<td>nc</td>,"<td>26,16 %</td>",<td>6 408 hab.</td>
301,"<td><a href=""https://www.linternaute.com/ville/sens/ville-89387"">Sens</a></td>",<td>20 996 €</td>,"<td>22,42 %</td>","<td>5,29 %</td>","<td>2 073,36 €</td>","<td>78,42 %</td>",<td>2 057 entreprises</td>,<td>9 016 €</td>,"<td>26,23 %</td>",<td>26 586 hab.</td>
302,"<td><a href=""https://www.linternaute.com/ville/wignehies/ville-59659"">Wignehies</a></td>",<td>17 119 €</td>,"<td>26,74 %</td>","<td>5,99 %</td>","<td>1 860,05 €</td>","<td>81,35 %</td>",<td>105 entreprises</td>,<td>nc</td>,"<td>23,47 %</td>",<td>2 877 hab.</td>
303,"<td><a href=""https://www.linternaute.com/ville/haillicourt/ville-62400"">Haillicourt</a></td>",<td>18 920 €</td>,"<td>18,79 %</td>","<td>4,73 %</td>","<td>1 946,30 €</td>","<td>81,51 %</td>",<td>151 entreprises</td>,<td>nc</td>,"<td>24,71 %</td>",<td>4 831 hab.</td>
304,"<td><a href=""https://www.linternaute.com/ville/la-trinite/ville-97230"">La Trinité</a></td>",<td>20 100 €</td>,"<td>24,86 %</td>","<td>10,72 %</td>","<td>2 156,91 €</td>","<td>80,72 %</td>",<td>1 159 entreprises</td>,<td>nc</td>,"<td>28,07 %</td>",<td>12 232 hab.</td>
305,"<td><a href=""https://www.linternaute.com/ville/outreau/ville-62643"">Outreau</a></td>",<td>19 894 €</td>,"<td>17,76 %</td>","<td>3,57 %</td>","<td>1 902,94 €</td>","<td>81,99 %</td>",<td>470 entreprises</td>,<td>nc</td>,"<td>23,15 %</td>",<td>13 575 hab.</td>
306,"<td><a href=""https://www.linternaute.com/ville/saint-ambroix/ville-30227"">Saint-Ambroix</a></td>",<td>17 008 €</td>,"<td>32,59 %</td>","<td>8,77 %</td>","<td>1 924,06 €</td>","<td>81,07 %</td>",<td>306 entreprises</td>,<td>nc</td>,"<td>28,50 %</td>",<td>3 257 hab.</td>
307,"<td><a href=""https://www.linternaute.com/ville/valenton/ville-94074"">Valenton</a></td>",<td>19 076 €</td>,"<td>19,31 %</td>","<td>5,17 %</td>","<td>2 018,48 €</td>","<td>83,15 %</td>",<td>1 046 entreprises</td>,<td>nc</td>,"<td>26,10 %</td>",<td>14 837 hab.</td>
308,"<td><a href=""https://www.linternaute.com/ville/vimoutiers/ville-61508"">Vimoutiers</a></td>",<td>17 760 €</td>,"<td>22,14 %</td>","<td>5,26 %</td>","<td>1 880,52 €</td>","<td>77,60 %</td>",<td>217 entreprises</td>,<td>nc</td>,"<td>22,75 %</td>",<td>3 224 hab.</td>
309,"<td><a href=""https://www.linternaute.com/ville/bar-sur-aube/ville-10033"">Bar-sur-Aube</a></td>",<td>19 223 €</td>,"<td>22,68 %</td>","<td>4,45 %</td>","<td>1 934,05 €</td>","<td>78,73 %</td>",<td>320 entreprises</td>,<td>nc</td>,"<td>21,22 %</td>",<td>4 844 hab.</td>
310,"<td><a href=""https://www.linternaute.com/ville/bethune/ville-62119"">Béthune</a></td>",<td>20 469 €</td>,"<td>22,17 %</td>","<td>7,50 %</td>","<td>2 153,17 €</td>","<td>80,32 %</td>",<td>2 202 entreprises</td>,<td>8 220 €</td>,"<td>30,93 %</td>",<td>25 193 hab.</td>
311,"<td><a href=""https://www.linternaute.com/ville/breteuil/ville-60104"">Breteuil</a></td>",<td>18 677 €</td>,"<td>21,40 %</td>","<td>4,86 %</td>","<td>1 907,73 €</td>","<td>81,78 %</td>",<td>226 entreprises</td>,<td>nc</td>,"<td>26,23 %</td>",<td>4 244 hab.</td>
312,"<td><a href=""https://www.linternaute.com/ville/parthenay/ville-79202"">Parthenay</a></td>",<td>20 394 €</td>,"<td>17,31 %</td>","<td>3,73 %</td>","<td>1 939,72 €</td>","<td>77,51 %</td>",<td>746 entreprises</td>,<td>nc</td>,<td>24 %</td>,<td>10 235 hab.</td>
313,"<td><a href=""https://www.linternaute.com/ville/le-quesnoy/ville-59481"">Le Quesnoy</a></td>",<td>18 766 €</td>,"<td>21,20 %</td>","<td>4,52 %</td>","<td>2 068,67 €</td>","<td>77,20 %</td>",<td>303 entreprises</td>,<td>nc</td>,"<td>25,30 %</td>",<td>4 902 hab.</td>
314,"<td><a href=""https://www.linternaute.com/ville/lunel/ville-34145"">Lunel</a></td>",<td>19 923 €</td>,"<td>19,75 %</td>","<td>3,89 %</td>","<td>2 033,06 €</td>","<td>80,94 %</td>",<td>2 925 entreprises</td>,<td>7 926 €</td>,"<td>23,79 %</td>",<td>26 273 hab.</td>
315,"<td><a href=""https://www.linternaute.com/ville/pezenas/ville-34199"">Pézenas</a></td>",<td>20 924 €</td>,"<td>18,73 %</td>","<td>5,60 %</td>","<td>1 968,77 €</td>","<td>79,39 %</td>",<td>1 300 entreprises</td>,<td>nc</td>,"<td>27,52 %</td>",<td>8 148 hab.</td>
316,"<td><a href=""https://www.linternaute.com/ville/tarascon/ville-13108"">Tarascon</a></td>",<td>19 310 €</td>,"<td>22,49 %</td>","<td>3,55 %</td>","<td>1 983,10 €</td>","<td>78,01 %</td>",<td>1 189 entreprises</td>,<td>nc</td>,"<td>18,33 %</td>",<td>15 195 hab.</td>
317,"<td><a href=""https://www.linternaute.com/ville/castelnaudary/ville-11076"">Castelnaudary</a></td>",<td>20 003 €</td>,"<td>14,26 %</td>","<td>3,87 %</td>","<td>1 944,56 €</td>","<td>65,46 %</td>",<td>985 entreprises</td>,<td>nc</td>,"<td>24,27 %</td>",<td>11 951 hab.</td>
318,"<td><a href=""https://www.linternaute.com/ville/gonfreville-l-orcher/ville-76305"">Gonfreville-l'Orcher</a></td>",<td>19 977 €</td>,"<td>20,02 %</td>","<td>4,88 %</td>","<td>2 085,92 €</td>","<td>80,33 %</td>",<td>370 entreprises</td>,<td>nc</td>,"<td>24,75 %</td>",<td>9 162 hab.</td>
319,"<td><a href=""https://www.linternaute.com/ville/oignies/ville-62637"">Oignies</a></td>",<td>18 888 €</td>,"<td>20,32 %</td>","<td>4,17 %</td>","<td>2 018,96 €</td>","<td>82,84 %</td>",<td>407 entreprises</td>,<td>nc</td>,"<td>23,91 %</td>",<td>9 841 hab.</td>
320,"<td><a href=""https://www.linternaute.com/ville/cavaillon/ville-84035"">Cavaillon</a></td>",<td>20 213 €</td>,"<td>17,41 %</td>","<td>3,67 %</td>","<td>2 005,09 €</td>","<td>78,37 %</td>",<td>2 701 entreprises</td>,<td>7 785 €</td>,"<td>23,30 %</td>",<td>26 198 hab.</td>
321,"<td><a href=""https://www.linternaute.com/ville/lamentin/ville-97115"">Lamentin</a></td>",<td>18 839 €</td>,"<td>25,14 %</td>","<td>10,79 %</td>","<td>2 328,32 €</td>","<td>81,34 %</td>",<td>1 631 entreprises</td>,<td>nc</td>,"<td>31,39 %</td>",<td>16 536 hab.</td>
322,"<td><a href=""https://www.linternaute.com/ville/perigueux/ville-24322"">Périgueux</a></td>",<td>21 355 €</td>,"<td>18,75 %</td>","<td>5,98 %</td>","<td>2 001,32 €</td>","<td>78,55 %</td>",<td>2 774 entreprises</td>,<td>10 408 €</td>,"<td>33,78 %</td>",<td>30 060 hab.</td>
323,"<td><a href=""https://www.linternaute.com/ville/trois-rivieres/ville-97132"">Trois-Rivières</a></td>",<td>17 657 €</td>,"<td>26,49 %</td>","<td>11,54 %</td>","<td>2 132,29 €</td>","<td>83,24 %</td>",<td>720 entreprises</td>,<td>nc</td>,"<td>29,19 %</td>",<td>7 991 hab.</td>
324,"<td><a href=""https://www.linternaute.com/ville/bethoncourt/ville-25057"">Bethoncourt</a></td>",<td>19 803 €</td>,"<td>21,73 %</td>","<td>4,54 %</td>","<td>2 094,64 €</td>","<td>77,46 %</td>",<td>164 entreprises</td>,<td>nc</td>,"<td>22,51 %</td>",<td>5 545 hab.</td>
325,"<td><a href=""https://www.linternaute.com/ville/castelsarrasin/ville-82033"">Castelsarrasin</a></td>",<td>20 059 €</td>,"<td>17,09 %</td>","<td>3,21 %</td>","<td>1 961,19 €</td>","<td>71,68 %</td>",<td>863 entreprises</td>,<td>nc</td>,"<td>20,65 %</td>",<td>13 934 hab.</td>
326,"<td><a href=""https://www.linternaute.com/ville/longwy/ville-54323"">Longwy</a></td>",<td>20 175 €</td>,"<td>18,64 %</td>","<td>4,89 %</td>","<td>1 837,42 €</td>","<td>83,76 %</td>",<td>730 entreprises</td>,<td>nc</td>,"<td>22,44 %</td>",<td>14 730 hab.</td>
327,"<td><a href=""https://www.linternaute.com/ville/mantes-la-jolie/ville-78361"">Mantes-la-Jolie</a></td>",<td>18 950 €</td>,"<td>21,04 %</td>","<td>5,49 %</td>","<td>2 136,47 €</td>","<td>78,57 %</td>",<td>3 287 entreprises</td>,<td>12 256 €</td>,"<td>25,84 %</td>",<td>44 227 hab.</td>
328,"<td><a href=""https://www.linternaute.com/ville/tarare/ville-69243"">Tarare</a></td>",<td>19 642 €</td>,"<td>17,74 %</td>","<td>3,62 %</td>","<td>1 920,12 €</td>","<td>81,78 %</td>",<td>750 entreprises</td>,<td>nc</td>,"<td>26,56 %</td>",<td>10 587 hab.</td>
329,"<td><a href=""https://www.linternaute.com/ville/trappes/ville-78621"">Trappes</a></td>",<td>19 522 €</td>,"<td>16,38 %</td>","<td>4,10 %</td>","<td>2 043,26 €</td>","<td>81,48 %</td>",<td>2 526 entreprises</td>,<td>nc</td>,"<td>25,33 %</td>",<td>32 120 hab.</td>
330,"<td><a href=""https://www.linternaute.com/ville/beauvais/ville-60057"">Beauvais</a></td>",<td>20 277 €</td>,"<td>22,51 %</td>","<td>6,59 %</td>","<td>2 108,43 €</td>","<td>81,07 %</td>",<td>3 908 entreprises</td>,<td>10 785 €</td>,"<td>28,78 %</td>",<td>56 605 hab.</td>
331,"<td><a href=""https://www.linternaute.com/ville/digoin/ville-71176"">Digoin</a></td>",<td>18 606 €</td>,"<td>20,97 %</td>","<td>3,44 %</td>","<td>1 900,42 €</td>","<td>81,79 %</td>",<td>452 entreprises</td>,<td>nc</td>,"<td>20,98 %</td>",<td>7 777 hab.</td>
332,"<td><a href=""https://www.linternaute.com/ville/la-couronne/ville-16113"">La Couronne</a></td>",<td>20 708 €</td>,"<td>17,90 %</td>","<td>3,76 %</td>","<td>1 940,17 €</td>","<td>79,13 %</td>",<td>467 entreprises</td>,<td>nc</td>,"<td>27,05 %</td>",<td>7 759 hab.</td>
333,"<td><a href=""https://www.linternaute.com/ville/mourenx/ville-64410"">Mourenx</a></td>",<td>18 166 €</td>,"<td>18,44 %</td>","<td>4,07 %</td>","<td>2 090,54 €</td>","<td>77,92 %</td>",<td>289 entreprises</td>,<td>nc</td>,"<td>24,22 %</td>",<td>6 341 hab.</td>
334,"<td><a href=""https://www.linternaute.com/ville/saint-brieuc/ville-22278"">Saint-Brieuc</a></td>",<td>21 703 €</td>,"<td>17,81 %</td>","<td>4,95 %</td>","<td>2 019,93 €</td>","<td>78,93 %</td>",<td>3 069 entreprises</td>,<td>8 301 €</td>,"<td>29,11 %</td>",<td>44 170 hab.</td>
335,"<td><a href=""https://www.linternaute.com/ville/coutances/ville-50147"">Coutances</a></td>",<td>20 280 €</td>,"<td>15,54 %</td>","<td>3,94 %</td>","<td>1 945,23 €</td>","<td>74,12 %</td>",<td>738 entreprises</td>,<td>nc</td>,"<td>28,82 %</td>",<td>8 454 hab.</td>
336,"<td><a href=""https://www.linternaute.com/ville/homecourt/ville-54263"">Homécourt</a></td>",<td>18 967 €</td>,"<td>20,24 %</td>","<td>4,34 %</td>","<td>1 967,24 €</td>","<td>82,53 %</td>",<td>235 entreprises</td>,<td>nc</td>,"<td>22,16 %</td>",<td>6 248 hab.</td>
337,"<td><a href=""https://www.linternaute.com/ville/solesmes/ville-59571"">Solesmes</a></td>",<td>19 042 €</td>,"<td>23,45 %</td>","<td>4,43 %</td>","<td>1 959,33 €</td>","<td>80,13 %</td>",<td>229 entreprises</td>,<td>nc</td>,"<td>22,80 %</td>",<td>4 290 hab.</td>
338,"<td><a href=""https://www.linternaute.com/ville/caussade/ville-82037"">Caussade</a></td>",<td>20 291 €</td>,"<td>18,74 %</td>","<td>4,14 %</td>","<td>1 921,92 €</td>","<td>80,34 %</td>",<td>508 entreprises</td>,<td>nc</td>,"<td>25,21 %</td>",<td>6 835 hab.</td>
339,"<td><a href=""https://www.linternaute.com/ville/saint-vallier/ville-26333"">Saint-Vallier</a></td>",<td>18 200 €</td>,"<td>20,24 %</td>","<td>4,60 %</td>","<td>2 005,67 €</td>","<td>77,64 %</td>",<td>306 entreprises</td>,<td>nc</td>,"<td>26,62 %</td>",<td>3 937 hab.</td>
340,"<td><a href=""https://www.linternaute.com/ville/uckange/ville-57683"">Uckange</a></td>",<td>19 558 €</td>,"<td>23,86 %</td>","<td>4,26 %</td>","<td>1 934,47 €</td>","<td>81,74 %</td>",<td>326 entreprises</td>,<td>nc</td>,"<td>19,72 %</td>",<td>6 829 hab.</td>
341,"<td><a href=""https://www.linternaute.com/ville/albert/ville-80016"">Albert</a></td>",<td>19 636 €</td>,"<td>21,49 %</td>","<td>4,37 %</td>","<td>2 074,59 €</td>","<td>81,44 %</td>",<td>544 entreprises</td>,<td>nc</td>,"<td>23,98 %</td>",<td>9 810 hab.</td>
342,"<td><a href=""https://www.linternaute.com/ville/carpentras/ville-84031"">Carpentras</a></td>",<td>20 691 €</td>,"<td>20,84 %</td>","<td>4,20 %</td>","<td>2 025,20 €</td>","<td>77,20 %</td>",<td>3 036 entreprises</td>,<td>10 291 €</td>,"<td>23,77 %</td>",<td>28 798 hab.</td>
343,"<td><a href=""https://www.linternaute.com/ville/chalon-sur-saone/ville-71076"">Chalon-sur-Saône</a></td>",<td>21 179 €</td>,"<td>19,08 %</td>","<td>4,30 %</td>","<td>2 045,55 €</td>","<td>78,03 %</td>",<td>3 180 entreprises</td>,<td>9 486 €</td>,"<td>28,10 %</td>",<td>44 810 hab.</td>
344,"<td><a href=""https://www.linternaute.com/ville/les-anses-d-arlet/ville-97202"">Les Anses-d'Arlet</a></td>",<td>16 182 €</td>,"<td>25,63 %</td>","<td>10,07 %</td>","<td>2 118,60 €</td>","<td>71,77 %</td>",<td>342 entreprises</td>,<td>nc</td>,"<td>25,67 %</td>",<td>3 541 hab.</td>
345,"<td><a href=""https://www.linternaute.com/ville/aubusson/ville-23008"">Aubusson</a></td>",<td>17 304 €</td>,"<td>19,65 %</td>","<td>4,03 %</td>","<td>1 665,04 €</td>","<td>79,33 %</td>",<td>337 entreprises</td>,<td>nc</td>,<td>31 %</td>,<td>3 328 hab.</td>
346,"<td><a href=""https://www.linternaute.com/ville/brionne/ville-27116"">Brionne</a></td>",<td>19 138 €</td>,"<td>21,98 %</td>","<td>4,60 %</td>","<td>2 022,60 €</td>","<td>76,84 %</td>",<td>258 entreprises</td>,<td>nc</td>,"<td>23,96 %</td>",<td>4 238 hab.</td>
347,"<td><a href=""https://www.linternaute.com/ville/flers-en-escrebieux/ville-59234"">Flers-en-Escrebieux</a></td>",<td>19 527 €</td>,"<td>20,71 %</td>","<td>4,76 %</td>","<td>2 015,56 €</td>","<td>80,82 %</td>",<td>330 entreprises</td>,<td>nc</td>,"<td>23,47 %</td>",<td>5 816 hab.</td>
348,"<td><a href=""https://www.linternaute.com/ville/armentieres/ville-59017"">Armentières</a></td>",<td>19 002 €</td>,"<td>18,32 %</td>","<td>5,77 %</td>","<td>1 959,36 €</td>","<td>82,79 %</td>",<td>1 383 entreprises</td>,<td>14 882 €</td>,"<td>29,75 %</td>",<td>24 778 hab.</td>
349,"<td><a href=""https://www.linternaute.com/ville/hesdin/ville-62447"">Hesdin</a></td>",<td>14 708 €</td>,"<td>32,40 %</td>","<td>7,36 %</td>","<td>1 806,59 €</td>","<td>76,13 %</td>",<td>221 entreprises</td>,<td>nc</td>,"<td>30,78 %</td>",<td>2 219 hab.</td>
350,"<td><a href=""https://www.linternaute.com/ville/trebes/ville-11397"">Trèbes</a></td>",<td>19 261 €</td>,"<td>19,32 %</td>","<td>4,89 %</td>","<td>1 871,35 €</td>","<td>81,53 %</td>",<td>350 entreprises</td>,<td>nc</td>,"<td>20,83 %</td>",<td>5 566 hab.</td>
351,"<td><a href=""https://www.linternaute.com/ville/aulnoy-lez-valenciennes/ville-59032"">Aulnoy-lez-Valenciennes</a></td>",<td>19 736 €</td>,"<td>18,37 %</td>","<td>4,64 %</td>","<td>2 169,63 €</td>","<td>76,39 %</td>",<td>241 entreprises</td>,<td>nc</td>,"<td>32,43 %</td>",<td>7 280 hab.</td>
352,"<td><a href=""https://www.linternaute.com/ville/jarville-la-malgrange/ville-54274"">Jarville-la-Malgrange</a></td>",<td>20 881 €</td>,"<td>16,92 %</td>","<td>6,18 %</td>","<td>2 012,41 €</td>","<td>79,99 %</td>",<td>526 entreprises</td>,<td>nc</td>,"<td>28,71 %</td>",<td>9 312 hab.</td>
353,"<td><a href=""https://www.linternaute.com/ville/le-teil/ville-07319"">Le Teil</a></td>",<td>20 465 €</td>,"<td>20,07 %</td>","<td>3,53 %</td>","<td>1 934,90 €</td>","<td>79,03 %</td>",<td>527 entreprises</td>,<td>nc</td>,"<td>20,74 %</td>",<td>8 796 hab.</td>
354,"<td><a href=""https://www.linternaute.com/ville/les-noes-pres-troyes/ville-10265"">Les Noës-près-Troyes</a></td>",<td>19 032 €</td>,"<td>19,32 %</td>","<td>4,05 %</td>","<td>1 880,15 €</td>","<td>81,06 %</td>",<td>100 entreprises</td>,<td>nc</td>,"<td>27,20 %</td>",<td>3 281 hab.</td>
355,"<td><a href=""https://www.linternaute.com/ville/miramont-de-guyenne/ville-47168"">Miramont-de-Guyenne</a></td>",<td>16 290 €</td>,"<td>19,50 %</td>","<td>5,24 %</td>","<td>1 692,82 €</td>","<td>80,41 %</td>",<td>246 entreprises</td>,<td>nc</td>,"<td>23,54 %</td>",<td>3 123 hab.</td>
356,"<td><a href=""https://www.linternaute.com/ville/montbeliard/ville-25388"">Montbéliard</a></td>",<td>21 625 €</td>,"<td>21,53 %</td>","<td>5,48 %</td>","<td>2 193,75 €</td>","<td>74,93 %</td>",<td>1 573 entreprises</td>,<td>7 332 €</td>,"<td>26,83 %</td>",<td>25 809 hab.</td>
357,"<td><a href=""https://www.linternaute.com/ville/saint-louis/ville-97126"">Saint-Louis</a></td>",<td>11 217 €</td>,"<td>29,62 %</td>","<td>9,97 %</td>",<td>nc</td>,"<td>70,49 %</td>",<td>239 entreprises</td>,<td>nc</td>,"<td>27,66 %</td>",<td>2 421 hab.</td>
358,"<td><a href=""https://www.linternaute.com/ville/toul/ville-54528"">Toul</a></td>",<td>20 332 €</td>,"<td>17,54 %</td>","<td>4,71 %</td>","<td>2 015,44 €</td>","<td>81,60 %</td>",<td>1 078 entreprises</td>,<td>nc</td>,"<td>26,38 %</td>",<td>15 470 hab.</td>
359,"<td><a href=""https://www.linternaute.com/ville/vals-les-bains/ville-07331"">Vals-les-Bains</a></td>",<td>19 844 €</td>,"<td>22,77 %</td>","<td>4,50 %</td>","<td>1 887,62 €</td>","<td>78,71 %</td>",<td>326 entreprises</td>,<td>nc</td>,"<td>27,05 %</td>",<td>3 547 hab.</td>
360,"<td><a href=""https://www.linternaute.com/ville/deville-les-rouen/ville-76216"">Déville-lès-Rouen</a></td>",<td>19 518 €</td>,"<td>16,67 %</td>","<td>5,21 %</td>","<td>2 041,72 €</td>","<td>82,22 %</td>",<td>572 entreprises</td>,<td>nc</td>,"<td>28,36 %</td>",<td>10 461 hab.</td>
361,"<td><a href=""https://www.linternaute.com/ville/quillan/ville-11304"">Quillan</a></td>",<td>17 370 €</td>,"<td>23,47 %</td>","<td>7,16 %</td>","<td>1 796,78 €</td>","<td>81,71 %</td>",<td>346 entreprises</td>,<td>nc</td>,"<td>23,91 %</td>",<td>3 238 hab.</td>
362,"<td><a href=""https://www.linternaute.com/ville/saint-just-en-chaussee/ville-60581"">Saint-Just-en-Chaussée</a></td>",<td>18 905 €</td>,"<td>18,43 %</td>","<td>3,95 %</td>","<td>1 958,29 €</td>","<td>81,59 %</td>",<td>280 entreprises</td>,<td>nc</td>,"<td>23,77 %</td>",<td>6 033 hab.</td>
363,"<td><a href=""https://www.linternaute.com/ville/deshaies/ville-97111"">Deshaies</a></td>",<td>16 832 €</td>,"<td>27,14 %</td>","<td>9,48 %</td>","<td>2 075,50 €</td>",<td>80 %</td>,<td>606 entreprises</td>,<td>nc</td>,"<td>24,66 %</td>",<td>4 033 hab.</td>
364,"<td><a href=""https://www.linternaute.com/ville/l-ile-saint-denis/ville-93039"">L'Île-Saint-Denis</a></td>",<td>18 952 €</td>,"<td>22,88 %</td>","<td>6,73 %</td>","<td>2 161,93 €</td>","<td>81,68 %</td>",<td>657 entreprises</td>,<td>nc</td>,"<td>26,91 %</td>",<td>8 012 hab.</td>
365,"<td><a href=""https://www.linternaute.com/ville/aiguillon/ville-47004"">Aiguillon</a></td>",<td>18 698 €</td>,"<td>21,83 %</td>","<td>4,59 %</td>","<td>1 827,11 €</td>","<td>67,99 %</td>",<td>286 entreprises</td>,<td>nc</td>,"<td>17,44 %</td>",<td>4 416 hab.</td>
366,"<td><a href=""https://www.linternaute.com/ville/chatillon-sur-seine/ville-21154"">Châtillon-sur-Seine</a></td>",<td>18 727 €</td>,"<td>18,44 %</td>","<td>4,81 %</td>","<td>1 847,32 €</td>","<td>82,57 %</td>",<td>391 entreprises</td>,<td>nc</td>,"<td>22,41 %</td>",<td>5 354 hab.</td>
367,"<td><a href=""https://www.linternaute.com/ville/louviers/ville-27375"">Louviers</a></td>",<td>20 390 €</td>,"<td>19,39 %</td>","<td>4,53 %</td>","<td>2 206,50 €</td>","<td>77,59 %</td>",<td>1 206 entreprises</td>,<td>nc</td>,"<td>25,35 %</td>",<td>18 348 hab.</td>
368,"<td><a href=""https://www.linternaute.com/ville/nimes/ville-30189"">Nîmes</a></td>",<td>21 745 €</td>,"<td>21,27 %</td>","<td>6,79 %</td>","<td>2 111,57 €</td>","<td>80,25 %</td>",<td>14 609 entreprises</td>,<td>9 248 €</td>,"<td>29,80 %</td>",<td>149 633 hab.</td>
369,"<td><a href=""https://www.linternaute.com/ville/sainte-livrade-sur-lot/ville-47252"">Sainte-Livrade-sur-Lot</a></td>",<td>18 876 €</td>,"<td>18,07 %</td>","<td>3,59 %</td>","<td>1 812,81 €</td>","<td>72,93 %</td>",<td>425 entreprises</td>,<td>nc</td>,"<td>17,94 %</td>",<td>6 458 hab.</td>
370,"<td><a href=""https://www.linternaute.com/ville/gaillon/ville-27275"">Gaillon</a></td>",<td>20 099 €</td>,"<td>19,50 %</td>","<td>4,99 %</td>","<td>2 115,64 €</td>","<td>77,30 %</td>",<td>450 entreprises</td>,<td>nc</td>,"<td>24,69 %</td>",<td>6 892 hab.</td>
371,"<td><a href=""https://www.linternaute.com/ville/moissac/ville-82112"">Moissac</a></td>",<td>19 708 €</td>,"<td>20,80 %</td>","<td>2,96 %</td>","<td>1 940,96 €</td>","<td>73,96 %</td>",<td>897 entreprises</td>,<td>nc</td>,"<td>17,83 %</td>",<td>13 195 hab.</td>
